trend,per,,
3.99366235,2.00633765,,
3.978525274,3.021474726,,
3.963359865,4.036640135,,
3.948171258,3.051828742,,
3.932968627,2.067031373,,
3.917764197,2.082235803,,
3.902572262,1.097427738,,
3.887409196,1.112590804,,
3.87229247,-1.87229247,,
3.857240671,-1.857240671,,
3.842270509,-2.842270509,,
3.82739684,-2.82739684,,
3.812631678,-3.812631678,,
3.797984207,-3.797984207,,
3.783459801,-1.783459801,,
3.769060034,-2.769060034,,
3.754784698,-1.754784698,,
3.740630816,0.259369184,,
3.726593654,1.273406346,,
3.71266874,3.28733126,,
3.698852875,1.301147125,,
3.685146145,0.314853855,,
3.67154994,1.32845006,,
3.658065964,0.341934036,,
3.644697248,1.355302752,,
3.631447167,1.368552833,,
3.618320451,2.381679549,,
3.605323196,2.394676804,,
3.592463883,1.407536117,,
3.579753386,1.420246614,,
3.567203987,1.432796013,,
3.554829388,-0.554829388,,
3.542644723,-1.542644723,,
3.530664574,-1.530664574,,
3.518901976,-2.518901976,,
3.507368438,-3.507368438,,
3.496072947,-3.496072947,,
3.485020983,-3.485020983,,
3.47421453,-2.47421453,,
3.463652089,-2.463652089,,
3.453329684,-1.453329684,,
3.443240877,0.556759123,,
3.433377775,1.566622225,,
3.423733045,3.576266955,,
3.414300917,1.585699083,,
3.405079199,0.594920801,,
3.396067286,1.603932714,,
3.387265164,1.612734836,,
3.378674427,0.621325573,,
3.37029828,1.62970172,,
3.362140549,1.637859451,,
3.354206691,2.645793309,,
3.346503799,0.653496201,,
3.339041613,0.660958387,,
3.331830526,0.668169474,,
3.324881593,-0.324881593,,
3.318206536,-1.318206536,,
3.311816753,-2.311816753,,
3.305722323,-3.305722323,,
3.299931014,-3.299931014,,
3.294447287,-3.294447287,,
3.289272304,-3.289272304,,
3.284403932,-3.284403932,,
3.27983675,-2.27983675,,
3.275562052,-0.275562052,,
3.271568851,-0.271568851,,
3.267845886,0.732154114,,
3.264381623,1.735618377,,
3.261165262,1.738834738,,
3.258187737,0.741812263,,
3.255441721,0.744558279,,
3.252920629,1.747079371,,
3.250618622,1.749381378,,
3.248531606,1.751468394,,
3.246657238,1.753342762,,
3.244994924,2.755005076,,
3.243545826,0.756454174,,
3.24231386,-0.24231386,,
3.241303699,0.758696301,,
3.240519773,-0.240519773,,
3.23996727,-1.23996727,,
3.239651139,-2.239651139,,
3.239575088,-2.239575088,,
3.239740587,-3.239740587,,
3.240146863,-3.240146863,,
3.240789907,-3.240789907,,
3.241662468,-3.241662468,,
3.242754054,-2.242754054,,
3.244050933,-1.244050933,,
3.245537127,-0.245537127,,
3.247195418,0.752804582,,
3.249008339,0.750991661,,
3.250959178,1.749040822,,
3.253031974,0.746968026,,
3.255212512,0.744787488,,
3.257487329,1.742512671,,
3.259843702,2.740156298,,
3.262270654,2.737729346,,
3.264759946,2.735240054,,
3.267306078,3.732693922,,
3.269906283,1.730093717,,
3.272561531,1.727438469,,
3.275274518,0.724725482,,
3.278049668,-0.278049668,,
3.280892133,-1.280892133,,
3.283806782,-2.283806782,,
3.286797208,-2.286797208,,
3.289864717,-2.289864717,,
3.293008329,-3.293008329,,
3.296224774,-3.296224774,,
3.29950749,-3.29950749,,
3.302846617,-2.302846617,,
3.306228997,-1.306228997,,
3.309639169,-0.309639169,,
3.313060365,1.686939635,,
3.316475508,1.683524492,,
3.319869207,2.680130793,,
3.323227757,2.676772243,,
3.326540129,0.673459871,,
3.329797975,1.670202025,,
3.332993618,1.667006382,,
3.336121052,2.663878948,,
3.339175938,2.660824062,,
3.3421566,3.6578434,,
3.345064023,2.654935977,,
3.347902852,1.652097148,,
3.350680385,0.649319615,,
3.353405571,-0.353405571,,
3.356088011,-1.356088011,,
3.358736951,-1.358736951,,
3.361360281,-2.361360281,,
3.363964533,-3.363964533,,
3.366553877,-3.366553877,,
3.369129119,-3.369129119,,
3.371687698,-3.371687698,,
3.374223686,-2.374223686,,
3.37672778,-1.37672778,,
3.379188306,0.620811694,,
3.38159221,2.61840779,,
3.383927063,3.616072937,,
3.386183051,2.613816949,,
3.388353977,1.611646023,,
3.390436258,0.609563742,,
3.392427923,0.607572077,,
3.39432761,1.60567239,,
3.396134564,2.603865436,,
3.397849637,1.602150363,,
3.399476284,2.600523716,,
3.401019563,2.598980437,,
3.402487132,0.597512868,,
3.403889247,1.596110753,,
3.405236763,-0.405236763,,
3.406542131,-1.406542131,,
3.407817395,-1.407817395,,
3.409073196,-2.409073196,,
3.410318762,-3.410318762,,
3.411560917,-3.411560917,,
