data1,data2,data3,homo1,homo2,homo3,arma1,arma2,arma3,prophet1,prophet2,prophet3,full1,full2,full3
1,4,2,5,4,5,-0.209426673,2.728655546,0.675212761,3.804784636,4.105630831,0.894757449,1.07,3.964,1.34
1,5,1,5,4,4,0.16461976,4.812919927,1.728945306,3.228031387,5.442565671,0.89304382,1.15,5.062,0.882
1,5,1,5,4,5,0.030284136,5.406013006,1.438418824,3.495142183,5.942867078,1.135754864,1.378,5.336,1.136
3,6,2,5,4,5,0.803026114,5.428565688,1.437389014,5.19687519,5.707751145,1.881191982,3.122,5.76,1.98
5,5,2,5,4,5,3.337861011,6.480967665,2.413163192,7.779682076,5.212525895,3.232740522,5.058,5.336,2.334
9,4,4,5,4,4,5.729387645,5.34142018,2.634437708,9.960599225,4.961188115,4.893124233,8.972,3.974,3.92
14,5,6,5,4,4,9.743264858,4.704338722,4.336004263,10.86509376,5.170991885,6.273072892,13.706,5.018,6.016
17,5,6,5,4,5,14.15428834,5.725009517,6.179150548,10.77426368,5.709106705,6.904196024,16.466,5.182,6.23
7,5,5,5,4,4,17.00993958,5.330739832,6.528381023,10.74839933,6.271985392,6.803526906,7.648,4.906,5.412
13,6,8,5,4,5,9.619784252,5.26692589,5.601094829,11.50738497,6.610471699,6.457926544,12.826,5.792,7.722
16,6,7,5,4,5,14.6885176,6.016647572,7.670827048,12.68506536,6.618684149,6.431199164,15.728,6.068,7.038
17,5,9,5,4,5,13.6132373,5.613142753,7.173074737,13.19843954,6.276510382,6.932856751,16.886,4.998,8.83
12,5,5,5,4,4.5,13.43581203,4.580294969,8.49656068,12.3574852,5.576301401,7.709823998,12.04,5.138,5.648
10,4,6,5,4,5,9.39341739,4.64693287,5.507745309,10.59985337,4.540044446,8.316931843,10.36,4.082,6.472
8,3,10,5,4,4,8.853366097,3.518244263,5.544289056,9.10711149,3.292767071,8.485285963,8.384,2.972,9.656
8,2,8,5,4,4,7.360518372,2.735690573,8.685523246,8.674749555,2.069315048,8.254894579,8.006,2.012,8.13
9,1,10,5,4,5,7.539738886,1.901636537,7.747483069,8.954394531,1.098451444,7.799765,8.842,1.216,9.904
9,1,5,5,4.5,4,8.121822516,1.129715911,8.946852743,8.819724203,0.458132535,7.176910822,8.684,0.924,5.364
7,1,6,5,4,5,8.145585771,1.323640987,5.249684761,7.493823041,0.057666704,6.277165784,6.98,0.754,5.952
3,1,5,5,4,5,6.909632698,1.32519894,5.125933821,5.324986096,-0.208722756,5.016701496,3.314,0.756,4.968
