data1,data2,data3,homo1,homo2,homo3,arma1,arma2,arma3,prophet1,prophet2,prophet3,full1,full2,full3
5,6,6,5,4,4,5.920361219,6.982643135,4.66266621,6.326742739,7.314949312,5.865336819,4.832,6.41,6.21
4,7,4,5,4,5,5.411291504,6.480926111,6.382639493,6.330886241,7.841373378,5.791177495,4.186,7.01,4.236
6,8,5,5,4,5,4.970653327,7.234364944,4.811548894,7.119879741,8.143405063,5.472086927,6.122,7.914,5.1
6,8,6,5,5,5,6.334844843,7.60037909,5.389009234,8.327567707,8.115162892,5.471869341,5.996,8.066,6.056
5,6,7,5,4,5,5.708715563,7.121532275,5.978211803,8.870949457,7.736534503,6.000036722,5.122,6.276,6.976
7,6,7,5,4,4,4.891278729,5.018441206,7.046389337,8.060002688,6.999870899,6.803513763,6.834,5.954,7.018
5,6,6,5,4,5,6.419105294,5.186547164,6.912596417,6.332378421,5.927159322,7.437131402,5.016,6.008,6.422
5,4,7,5,4,5,4.629608097,4.799197472,6.224937081,4.869644113,4.643427326,7.631995317,5.022,4.134,6.744
6,3,9,5,4,5,5.196188568,2.791582731,6.520375612,4.467289749,3.383520681,7.428113726,5.9,3.068,8.68
5,2,8,5,4,5,5.860987089,2.205271129,8.332805433,4.776942295,2.376202455,6.999493941,4.856,1.966,7.732
4,1,6,5,4,5,5.080351087,1.33592692,7.596253333,4.672279537,1.699428924,6.403145212,3.922,1.03,5.79
3,1,5,5,4,5,4.500200852,0.642238123,5.999349528,3.376385945,1.262508471,5.529905623,3,0.966,5.134
2,0,3,5,4,5,3.538744998,0.920774507,4.590516674,1.23755657,0.95966439,4.295946783,1.846,0.4,3.204
1,0,2,5,4,5,2.383916352,0.121733605,3.021974594,-0.602045736,0.856073561,2.848005839,1.128,0.406,2.182
0,1,1,5,4,4,1.123691928,0.603551076,1.777671402,-1.296573167,1.203968691,1.539356924,0.508,0.92,1.232
0,2,0,5,4,5,-0.069585532,1.728553192,1.156668613,-1.050895624,2.228796903,0.679708789,0.444,2.018,0.646
0,3,0,5,4,4,-0.27820485,2.730314402,0.198840116,-0.797653618,3.8532159,0.309931557,0.374,2.924,0.442
0,7,0,5,4,5,-0.269563649,3.783679997,0.45020705,-1.147356675,5.619173891,0.238368391,0.322,6.588,0.41
0,9,0,5,4,5,0.166655549,7.571028356,0.461271932,-1.694102064,6.919654111,0.306759618,0.412,8.766,0.378
1,7,1,5,4,5,0.767839042,8.781580565,0.86851287,-1.396983408,7.383500896,0.605416028,0.924,6.982,0.896
2,7,3,5,4,5,2.098546761,6.940353461,1.616608545,0.334757458,7.111930342,1.392769234,1.832,7.102,2.456
3,6,4,5,4,4.5,3.132691179,7.63188263,3.654309258,2.947572203,6.580250471,2.772528152,2.726,5.982,3.456
3,6,3,5,4,4,4.049282121,6.621382804,4.622350679,5.158497212,6.29245807,4.447925961,3.322,6.01,3.104
4,5,5,5,4,5,3.97598246,6.858530227,4.201512376,6.092999609,6.465807219,5.830377888,4.008,5.37,4.85
5,5,4,5,4,5,4.607542801,5.735191121,5.32662161,6.03217739,6.967467418,6.452342858,4.812,5.302,4.408
4,6,7,5,4,5,4.971645391,5.785918935,4.946892774,6.036320893,7.493891483,6.331853384,4.23,6.078,6.806
4,7,7,5,4,5,3.986559618,6.366796544,6.837897112,6.825314394,7.79592317,5.956903587,4.162,6.934,6.766
6,8,7,5,4,5,4.078176168,6.763023908,7.387890458,8.03300236,7.767680999,5.892547084,5.982,7.89,6.762
6,6,6,5,4,5,5.51492269,7.19129752,7.064215539,8.576384121,7.389052611,6.349642556,5.946,6.154,6.138
6,6,9,5,4,4,5.507631118,4.863666177,6.329829802,7.765437363,6.652389008,7.076538582,5.898,5.924,8.758
4,6,9,5,4,5,6.085743472,5.116909421,8.132439523,6.037813108,5.579677432,7.629546199,4.226,5.79,9.08
4,4,6,5,4,4.5,4.841407179,4.73990635,8.692255799,4.575078811,4.295945436,7.741285848,4.316,4.178,6.118
5,3,10,5,4,5,5.020177097,2.76770647,6.037423061,4.172724458,3.036038792,7.45329333,4.884,2.862,9.448
6,2,6,5,4,5,5.176781784,2.212207653,8.764018999,4.482377016,2.028720567,6.941094507,5.714,1.936,6.238
5,1,6,5,4,5,5.395592987,1.374128377,5.92430097,4.377714269,1.351947037,6.263186596,4.564,1.012,6.17
3,1,3,5,4,5,4.398999972,0.708009102,5.489502134,3.081820689,0.915026584,5.311844071,3.148,0.782,3.578
3,0,5,5,4,5,3.086080989,1.008883484,2.871229473,0.942991324,0.612182504,4.004603217,2.732,0.398,4.732
1,0,5,5,4,5,3.243063495,0.225588506,4.201350852,-0.89661097,0.508591675,2.489475118,0.994,0.416,4.386
1,1,3,5,4,4,1.443381554,0.715294413,4.413580417,-1.59113839,0.856486806,1.120899449,0.818,0.884,2.58
1,1,1,5,4,4.5,1.485042167,1.839944692,3.189696175,-1.345460836,1.881315019,0.20962603,0.75,1.13,1.024
1,3,1,5,4,5,1.066274929,1.914072728,1.237493836,-1.092218819,3.505734017,-0.202572676,0.636,2.9,0.834
0,6,0,5,5,4,1.00077119,4.106399815,1.18789762,-1.441921864,5.271692009,-0.306602186,0.298,5.778,0.386
0,8,0,5,4,5,0.322614673,6.647198151,0.379259721,-1.988667243,6.572172228,-0.260131991,0.39,7.622,0.592
1,8,1,5,4,4.5,0.631437859,8.149755976,0.595322624,-1.691548577,7.036019014,0.027569887,0.908,7.868,1.024
2,6,1,5,4,5,1.507214676,8.029151235,1.385416463,0.0401923,6.764448461,0.815181774,1.842,6.202,1.21
2,5,2,5,4,5,2.414571729,6.40337385,1.884004417,2.653007055,6.232768589,2.206481801,2.13,5.418,2.186
3,6,4,5,4,5,2.683664553,5.970143321,2.623959435,4.863932075,5.944976188,3.904594319,3.052,5.908,4.108
3,6,5,5,4,5,3.793721212,6.940549903,4.573023424,5.798434482,6.118325338,5.320649627,3.26,6.058,5.168
4,6,5,5,5,5,3.795336251,6.525500568,5.51197151,5.737612274,6.619985537,5.986650022,3.992,6.048,5.366
4,6,5,5,4,5,4.629184107,6.388598308,5.796973295,5.741755787,7.146409603,5.92000649,4.21,6.07,5.222
3,8,5,5,4,5,4.363130949,6.107577001,5.510497892,6.530749298,7.448441289,5.60793583,3.334,7.956,5.158
5,7,5,5,4,5,3.479977929,7.657174868,5.537540692,7.738437275,7.420199119,5.614569834,5.022,6.98,5.07
5,6,9,5,4,4,4.886028317,5.96139961,5.243814438,8.281819036,7.041570731,6.149714164,5.04,6.304,8.342
5,6,10,5,4,5,4.470253885,5.1247056,8.42756281,7.470872278,6.304907128,6.960548362,5.2,5.858,9.948
4,6,11,5,4,5,4.810851349,5.003478506,9.567083941,5.743248023,5.232195552,7.602115224,4.29,5.78,10.442
3,4,6,5,4,5,4.276586915,4.749999673,10.55102448,4.280513726,3.948463556,7.805685994,3.548,4.05,6.334
4,3,8,5,4,5,3.766028664,2.770258509,6.429380416,3.878159373,2.688556912,7.611385737,3.95,2.88,7.886
3,2,8,5,4,5,4.445872084,2.241122309,7.13068816,4.187811931,1.681238687,7.193288388,3.212,1.918,7.918
5,1,7,5,4,5,3.222013921,1.417845623,7.105668194,4.083149184,1.004465157,6.608419033,4.484,1.038,6.988
4,1,6,5,4,5,4.75105152,0.765528735,6.451189061,2.787255603,0.567544704,5.747581179,3.636,0.766,5.898
3,0,6,5,4,5,3.612571213,1.075121219,5.358555876,0.648426239,0.264700624,4.526862742,2.564,0.436,5.424
1,1,3,5,4,5,3.294653096,0.295909269,5.322483444,-1.191176055,0.161109795,3.092870276,0.954,0.828,2.974
1,1,2,5,4,4,1.816457759,1.703693864,2.886220446,-1.885703475,0.509004926,1.798703503,0.872,0.934,1.804
1,1,0,5,4,4,1.787748157,1.66774902,1.850227785,-1.640025921,1.533833139,0.953856844,0.658,1.316,0.614
1,3,0,5,4,4,1.245894457,2.036747577,0.116416767,-1.386783904,3.158252137,0.598950839,0.544,2.882,0.492
1,5,1,5,5,4,0.974479593,4.132123967,0.126395489,-1.736486949,4.924210129,0.542049158,0.586,4.666,0.796
0,8,0,5,4,5,0.913134085,5.756830361,1.015060963,-2.283232328,6.224690348,0.624588696,0.376,7.698,0.456
1,8,3,5,4,4,0.322625175,8.388288407,0.763940799,-1.986113662,6.688537134,0.93655933,0.798,7.804,2.082
3,6,2,5,4,5,1.495564103,7.944203839,3.033580381,-0.254372785,6.416966581,1.736061174,2.188,6.11,1.726
3,5,3,5,4,5,3.192257247,6.382702614,2.972613882,2.35844197,5.885286709,3.126468253,2.628,5.054,2.914
3,6,4,5,5,5,3.529704221,5.914293809,3.565142942,4.56936699,5.597494308,4.810682864,2.926,5.772,4.06
3,5,6,5,5,5,4.120980107,6.880545889,4.619664345,5.503869397,5.770843458,6.199800841,3.194,5.192,6.11
3,6,9,5,4,5,4.24053415,5.539552296,6.177529354,5.443047189,6.272503657,6.82598066,3.348,5.93,8.432
3,7,11,5,4,5,4.002814485,6.557110681,8.897122033,5.447190702,6.798927723,6.706980638,3.352,6.8,10.616
3,8,9,5,4,5,3.484434899,6.894273345,10.66156339,6.236184213,7.100959409,6.330553994,3.308,7.64,8.74
4,7,7,5,4,5,2.919014049,7.380889841,9.346483433,7.44387219,7.072717239,6.261553422,4.284,6.982,7.05
4,6,6,5,4,4,3.326903132,5.983084575,7.057987124,7.987253951,6.694088851,6.710682841,4.064,5.918,6.4
4,6,7,5,4,5,3.246858775,5.08645892,5.819019266,7.176307193,5.957425248,7.426187845,3.916,6.09,6.822
4,5,7,5,4,5,3.760079638,5.002239831,6.143976761,5.448682938,4.884713672,7.964333198,4.192,5.046,7.086
3,5,6,5,4,4,4.337459805,3.841238655,6.401071541,3.985948641,3.600981676,8.057753951,3.28,4.544,6.454
4,2,7,5,4,5,4.032522251,3.95251087,5.500665655,3.583594288,2.341075032,7.748064727,4.04,2.106,7.056
4,2,8,5,4,5,5.032967229,1.05768129,6.26593684,3.893246846,1.333756807,7.210936858,3.914,1.814,7.884
4,1,5,5,5,5,4.60642681,1.787468017,7.059880074,3.788584099,0.656983277,6.505081139,3.916,0.984,5.168
4,1,5,5,4,5,4.31481789,0.733727168,5.036600638,2.492690518,0.220062824,5.523054218,3.524,0.856,5.238
2,0,4,5,4,5,3.893737577,1.15579566,4.42668347,0.353861154,-0.082781256,4.182742584,1.718,0.396,4.272
0,0,3,5,4,5,2.033918172,0.347388837,3.774526164,-1.48574114,-0.186372085,2.63257398,0.564,0.42,2.85
1,2,2,5,4,5,0.426123823,0.83907849,2.773653566,-2.180268561,0.161523046,1.22746855,0.776,1.434,1.854
1,1,2,5,4,5,0.945717948,2.86647596,2.087357239,-1.934591006,1.186351259,0.278716757,0.724,1.228,1.53
0,2,1,5,4,5,0.555947794,1.764999504,1.912659839,-1.681348989,2.810770257,-0.171312777,0.304,2.232,0.8
0,4,0,5,4,4,0.107157172,3.315569503,1.433181972,-2.031052034,4.576728249,-0.31287948,0.266,4.024,0.404
0,5,1,5,5,5,0.616374617,5.058169763,0.514768536,-2.577797413,5.877208468,-0.302963322,0.356,5.024,0.802
0,7,0,5,4,5,0.920788942,5.793737511,1.437680124,-2.280678747,6.341055254,-0.050106695,0.524,6.754,0.598
,,2,,,5,,,0.82055003,,,0.70512241,,,1.808
,,2,,,5,,,2.522933266,,,2.067275136,,,2.112
,,3,,,5,,,2.788046731,,,3.740258906,,,3.368
,,3,,,4,,,3.785776223,,,5.135987441,,,3.39
,,5,,,5,,,3.804856255,,,5.787236771,,,5.184
,,7,,,5,,,5.466817836,,,5.712171699,,,7.172
,,4,,,4,,,7.135230064,,,5.398732611,,,4.528
,,3,,,5,,,5.151332082,,,5.411734414,,,3.662
,,3,,,5,,,3.636733801,,,5.961615359,,,3.464
,,7,,,5,,,3.45595275,,,6.796127318,,,7.274
,,5,,,5,,,6.393302732,,,7.470815879,,,5.456
,,7,,,5,,,5.605040396,,,7.717376838,,,7.04
,,7,,,5,,,6.702272082,,,7.576273568,,,6.88
,,6,,,5,,,7.041310751,,,7.221824875,,,6.15
,,6,,,5,,,6.025089972,,,6.711200997,,,6.104
,,7,,,4.5,,,5.913882256,,,5.935245603,,,6.808
,,3,,,5,,,6.441053767,,,4.809977604,,,3.252
,,4,,,5,,,3.593188187,,,3.481822361,,,3.834
,,2,,,5,,,3.57420139,,,2.303584416,,,1.952
,,2,,,5,,,2.325469764,,,1.584348491,,,1.448
,,0,,,4.5,,,1.957975921,,,1.364211657,,,0.45
,,0,,,5,,,0.683971833,,,1.450602412,,,0.418
,,1,,,5,,,0.351892412,,,1.684214125,,,0.844
,,1,,,5,,,1.465717949,,,2.15418945,,,1.11
,,2,,,5,,,1.622956558,,,3.117683463,,,1.884
,,8,,,5,,,2.732155621,,,4.677034435,,,7.004
,,12,,,5,,,7.458459268,,,6.534026421,,,10.768
,,13,,,4,,,11.69838887,,,8.098563814,,,12.242
,,11,,,5,,,12.81821306,,,8.901550704,,,10.77
,,8,,,5,,,11.28135824,,,8.959439199,,,7.91
,,6,,,5,,,8.017552565,,,8.758636353,,,6.248
,,8,,,4,,,5.796222207,,,8.86262123,,,8.002
,,11,,,5,,,6.645454967,,,9.480709639,,,10.422
,,8,,,4,,,9.435177008,,,10.35975792,,,8.062
,,10,,,5,,,7.41675716,,,11.05465399,,,9.75
,,13,,,4,,,8.668609319,,,11.29668203,,,12.876
,,11,,,5,,,11.02632873,,,11.12614531,,,10.738
,,10,,,5,,,10.05902192,,,10.71745659,,,9.796
