time,click
2018/3/11 23:00,2
2018/3/12 0:00,1
2018/3/12 1:00,1
2018/3/12 2:00,1
2018/3/12 3:00,1
2018/3/12 4:00,1
2018/3/12 5:00,1
2018/3/12 6:00,1
2018/3/12 7:00,2
2018/3/12 8:00,4
2018/3/12 9:00,5
2018/3/12 10:00,6
2018/3/12 11:00,5
2018/3/12 12:00,4
2018/3/12 13:00,6
2018/3/12 14:00,6
2018/3/12 15:00,5
2018/3/12 16:00,7
2018/3/12 17:00,5
2018/3/12 18:00,5
2018/3/12 19:00,6
2018/3/12 20:00,5
2018/3/12 21:00,4
2018/3/12 22:00,3
2018/3/12 23:00,2
2018/3/13 0:00,1
2018/3/13 1:00,0
2018/3/13 2:00,0
2018/3/13 3:00,0
2018/3/13 4:00,0
2018/3/13 5:00,0
2018/3/13 6:00,1
2018/3/13 7:00,2
2018/3/13 8:00,3
2018/3/13 9:00,3
2018/3/13 10:00,4
2018/3/13 11:00,5
2018/3/13 12:00,4
2018/3/13 13:00,4
2018/3/13 14:00,6
2018/3/13 15:00,6
2018/3/13 16:00,6
2018/3/13 17:00,4
2018/3/13 18:00,4
2018/3/13 19:00,5
2018/3/13 20:00,6
2018/3/13 21:00,5
2018/3/13 22:00,3
2018/3/13 23:00,3
2018/3/14 0:00,1
2018/3/14 1:00,1
2018/3/14 2:00,1
2018/3/14 3:00,1
2018/3/14 4:00,0
2018/3/14 5:00,0
2018/3/14 6:00,1
2018/3/14 7:00,2
2018/3/14 8:00,2
2018/3/14 9:00,3
2018/3/14 10:00,3
2018/3/14 11:00,4
2018/3/14 12:00,4
2018/3/14 13:00,3
2018/3/14 14:00,5
2018/3/14 15:00,5
2018/3/14 16:00,5
2018/3/14 17:00,4
2018/3/14 18:00,3
2018/3/14 19:00,4
2018/3/14 20:00,3
2018/3/14 21:00,5
2018/3/14 22:00,4
2018/3/14 23:00,3
2018/3/15 0:00,1
2018/3/15 1:00,1
2018/3/15 2:00,1
2018/3/15 3:00,1
2018/3/15 4:00,1
2018/3/15 5:00,0
2018/3/15 6:00,1
2018/3/15 7:00,3
2018/3/15 8:00,3
2018/3/15 9:00,3
2018/3/15 10:00,3
2018/3/15 11:00,3
2018/3/15 12:00,3
2018/3/15 13:00,3
2018/3/15 14:00,4
2018/3/15 15:00,4
2018/3/15 16:00,4
2018/3/15 17:00,4
2018/3/15 18:00,3
2018/3/15 19:00,4
2018/3/15 20:00,4
2018/3/15 21:00,4
2018/3/15 22:00,4
2018/3/15 23:00,2
2018/3/16 0:00,0
2018/3/16 1:00,1
2018/3/16 2:00,1
2018/3/16 3:00,0
2018/3/16 4:00,0
2018/3/16 5:00,0
2018/3/16 6:00,0
2018/3/16 7:00,2
2018/3/16 8:00,1
2018/3/16 9:00,4
2018/3/16 10:00,4
2018/3/16 11:00,4
2018/3/16 12:00,3
2018/3/16 13:00,3
2018/3/16 14:00,3
2018/3/16 15:00,3
2018/3/16 16:00,3
2018/3/16 17:00,3
2018/3/16 18:00,2
2018/3/16 19:00,4
2018/3/16 20:00,3
2018/3/16 21:00,3
2018/3/16 22:00,3
2018/3/16 23:00,2
2018/3/17 0:00,1
2018/3/17 1:00,0
2018/3/17 2:00,0
2018/3/17 3:00,1
2018/3/17 4:00,1
2018/3/17 5:00,0
2018/3/17 6:00,1
2018/3/17 7:00,2
2018/3/17 8:00,2
2018/3/17 9:00,3
2018/3/17 10:00,4
2018/3/17 11:00,3
2018/3/17 12:00,2
2018/3/17 13:00,3
2018/3/17 14:00,4
2018/3/17 15:00,3
2018/3/17 16:00,3
2018/3/17 17:00,3
2018/3/17 18:00,2
2018/3/17 19:00,3
2018/3/17 20:00,2
2018/3/17 21:00,3
2018/3/17 22:00,3
2018/3/17 23:00,2
2018/3/18 0:00,1
2018/3/18 1:00,1
2018/3/18 2:00,1
2018/3/18 3:00,1
2018/3/18 4:00,1
2018/3/18 5:00,1
2018/3/18 6:00,1
2018/3/18 7:00,3
2018/3/18 8:00,2
2018/3/18 9:00,3
2018/3/18 10:00,3
2018/3/18 11:00,3
2018/3/18 12:00,2
2018/3/18 13:00,3
2018/3/18 14:00,3
2018/3/18 15:00,4
2018/3/18 16:00,3
2018/3/18 17:00,2
2018/3/18 18:00,3
2018/3/18 19:00,3
2018/3/18 20:00,3
2018/3/18 21:00,2
2018/3/18 22:00,2
2018/3/18 23:00,2
2018/3/19 0:00,1
2018/3/19 1:00,0
2018/3/19 2:00,1
2018/3/19 3:00,0
2018/3/19 4:00,0
2018/3/19 5:00,0
2018/3/19 6:00,0
2018/3/19 7:00,2
2018/3/19 8:00,3
2018/3/19 9:00,3
2018/3/19 10:00,3
2018/3/19 11:00,3
2018/3/19 12:00,2
2018/3/19 13:00,3
2018/3/19 14:00,3
2018/3/19 15:00,3
2018/3/19 16:00,2
2018/3/19 17:00,2
2018/3/19 18:00,2
2018/3/19 19:00,3
2018/3/19 20:00,3
2018/3/19 21:00,2
2018/3/19 22:00,2
2018/3/19 23:00,1
2018/3/20 0:00,1
2018/3/20 1:00,1
2018/3/20 2:00,0
2018/3/20 3:00,0
2018/3/20 4:00,1
2018/3/20 5:00,1
2018/3/20 6:00,1
2018/3/20 7:00,1
2018/3/20 8:00,2
